Aug 15, 2020:437.56:441.75:429.87:433.35:12,416,067,894:48,620,820,125;
Aug 14, 2020:428.68:444.58:423.35:437.40:15,064,589,987:49,068,474,083;
Aug 13, 2020:390.84:432.90:379.71:428.74:18,480,303,526:48,091,569,052;
Aug 12, 2020:380.06:391.31:367.92:391.02:12,408,772,745:43,855,501,072;
Aug 11, 2020:395.89:398.48:370.86:380.38:12,792,218,737:42,656,945,169;
Aug 10, 2020:391.04:399.38:391.04:395.89:11,685,827,893:44,390,142,137;
