Aug 15, 2020:11,768.70:11,963.20:11,768.70:11,865.70:23,354,924,400:219,064,372,745;
Aug 14, 2020:11,772.66:12,150.99:11,685.46:11,768.87:24,237,958,589:217,265,120,503;
Aug 13, 2020:11,588.41:11,796.40:11,216.87:11,784.14:27,522,199,497:217,534,728,413;
Aug 12, 2020:11,404.60:11,748.40:11,249.61:11,584.93:25,064,548,486:213,846,666,475;
Aug 11, 2020:11,881.65:11,932.71:11,195.71:11,410.53:27,039,782,640:210,616,121,945;
Aug 10, 2020:11,662.26:12,045.14:11,662.26:11,878.11:26,114,112,569:219,235,405,395;
